imagetileh,imageh[preserveAspectRatio],text
,none,none
,xMinYMin,xMinYMin
,xMidYMin,xMidYMin
,xMaxYMin,xMaxYMin
,xMinYMid,xMinYMid
,xMidYMid,xMidYMid
,xMaxYMid,xMaxYMid
,xMinYMax,xMinYMax
,xMidYMax,xMidYMax
,xMaxYMax,xMaxYMax
,xMinYMin slice,xMinYMin slice
,xMidYMin slice,xMidYMin slice
,xMaxYMin slice,xMaxYMin slice
,xMinYMid slice,xMinYMid slice
,xMidYMid slice,xMidYMid slice
,xMaxYMid slice,xMaxYMid slice
,xMinYMax slice,xMinYMax slice
,xMidYMax slice,xMidYMax slice
,xMaxYMax slice,xMaxYMax slice


