colorcounter,colorname,color[style:fill]
,black,black
,silver,silver
,gray,gray
,white,white
,maroon,maroon
,red,red
,purple,purple
,fuchsia,fuchsia
,green,green
,lime,lime
,olive,olive
,yellow,yellow
,navy,navy
,blue,blue
,teal,teal
,aqua,aqua
,orange,orange
,aliceblue,aliceblue
,antiquewhite,antiquewhite
,aquamarine,aquamarine
,azure,azure
,beige,beige
,bisque,bisque
,blanchedalmond,blanchedalmond
,blueviolet,blueviolet
,brown,brown
,burlywood,burlywood
,cadetblue,cadetblue
,chartreuse,chartreuse
,chocolate,chocolate
,coral,coral
,cornflowerblue,cornflowerblue
,cornsilk,cornsilk
,crimson,crimson
,cyan,cyan
,darkblue,darkblue
,darkcyan,darkcyan
,darkgoldenrod,darkgoldenrod
,darkgray,darkgray
,darkgreen,darkgreen
,darkgrey,darkgrey
,darkkhaki,darkkhaki
,darkmagenta,darkmagenta
,darkolivegreen,darkolivegreen
,darkorange,darkorange
,darkorchid,darkorchid
,darkred,darkred
,darksalmon,darksalmon
,darkseagreen,darkseagreen
,darkslateblue,darkslateblue
,darkslategray,darkslategray
,darkslategrey,darkslategrey
,darkturquoise,darkturquoise
,darkviolet,darkviolet
,deeppink,deeppink
,deepskyblue,deepskyblue
,dimgray,dimgray
,dimgrey,dimgrey
,dodgerblue,dodgerblue
,firebrick,firebrick
,floralwhite,floralwhite
,forestgreen,forestgreen
,gainsboro,gainsboro
,ghostwhite,ghostwhite
,gold,gold
,goldenrod,goldenrod
,greenyellow,greenyellow
,grey,grey
,honeydew,honeydew
,hotpink,hotpink
,indianred,indianred
,indigo,indigo
,ivory,ivory
,khaki,khaki
,lavender,lavender
,lavenderblush,lavenderblush
,lawngreen,lawngreen
,lemonchiffon,lemonchiffon
,lightblue,lightblue
,lightcoral,lightcoral
,lightcyan,lightcyan
,lightgoldenrodyellow,lightgoldenrodyellow
,lightgray,lightgray
,lightgreen,lightgreen
,lightgrey,lightgrey
,lightpink,lightpink
,lightsalmon,lightsalmon
,lightseagreen,lightseagreen
,lightskyblue,lightskyblue
,lightslategray,lightslategray
,lightslategrey,lightslategrey
,lightsteelblue,lightsteelblue
,lightyellow,lightyellow
,limegreen,limegreen
,linen,linen
,magenta,magenta
,mediumaquamarine,mediumaquamarine
,mediumblue,mediumblue
,mediumorchid,mediumorchid
,mediumpurple,mediumpurple
,mediumseagreen,mediumseagreen
,mediumslateblue,mediumslateblue
,mediumspringgreen,mediumspringgreen
,mediumturquoise,mediumturquoise
,mediumvioletred,mediumvioletred
,midnightblue,midnightblue
,mintcream,mintcream
,mistyrose,mistyrose
,moccasin,moccasin
,navajowhite,navajowhite
,oldlace,oldlace
,olivedrab,olivedrab
,orangered,orangered
,orchid,orchid
,palegoldenrod,palegoldenrod
,palegreen,palegreen
,paleturquoise,paleturquoise
,palevioletred,palevioletred
,papayawhip,papayawhip
,peachpuff,peachpuff
,peru,peru
,pink,pink
,plum,plum
,powderblue,powderblue
,rosybrown,rosybrown
,royalblue,royalblue
,saddlebrown,saddlebrown
,salmon,salmon
,sandybrown,sandybrown
,seagreen,seagreen
,seashell,seashell
,sienna,sienna
,skyblue,skyblue
,slateblue,slateblue
,slategray,slategray
,slategrey,slategrey
,snow,snow
,springgreen,springgreen
,steelblue,steelblue
,tan,tan
,thistle,thistle
,tomato,tomato
,turquoise,turquoise
,violet,violet
,wheat,wheat
,whitesmoke,whitesmoke
,yellowgreen,yellowgreen
